id	Gal(b1-3)GalNAc	GalOS(b1-3)GalNAc	Gal(b1-3)[Fuc(a1-?)]GalNAc	Fuc(a1-2)Gal(b1-3)GalNAc	Fuc(a1-?)[HexNAc(?1-?)]GalNAc	Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc	Gal(b1-3)[Neu5Ac(a2-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-3)GalNAc	Gal(b1-3)[Neu5Gc(a2-6)]GalNAc	Neu5Gc(a2-3)Gal(b1-3)GalNAc	Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-?)]GalNAc	Fuc(a1-2)Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc	GalNAc(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc	Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-3)GalNAc	GlcNAc(a1-4)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GalNAc	Fuc(a1-2)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc	Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc	GlcNAc(a1-4)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc	Neu5Gc(a2-3)Gal(b1-3)[Neu5Gc(a2-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(a1-3)Gal(b1-3)]GalNAc	Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc	Fuc(a1-?)[Gal(?1-?)]GlcNAc(?1-?)Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(?1-?)Gal(?1-?)GlcNAc(b1-3)GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc	GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc	Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc	HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-?)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc	Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)]GalNAc	Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc	Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[HexNAc(?1-?)GlcNAc(b1-6)]GalNAc	Gal(b1-?)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[HexNAc(?1-?)Gal(b1-3)]GalNAc	Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc	Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(a1-4)Gal(b1-3)]GalNAc	Gal(?1-?)GlcNAc(b1-3)[Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)]GalNAc	GlcNAc(a1-4)Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-3)Gal(?1-?)GlcNAc(?1-?)Gal(?1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-3)]GalNAc	{Man(?1-?)}Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)[GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-?)GlcNAc(b1-6)[Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc	{HexNAc(?1-?)}Gal(?1-?)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	{Man(?1-?)}Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[HexNAc(?1-?)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-3)[Gal(b1-4)GlcNAc(b1-3)Gal(b1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-?)GlcNAc(b1-6)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[Gal(?1-?)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-2)Man(a1-6)[Gal(?1-?)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	HexNAc(?1-?)Gal(?1-?)GlcNAc(b1-3)[HexNAc(?1-?)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[GlcNAcOS(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-3)Gal(b1-3)[GalNAc(b1-4)[Fuc(a1-?)]GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)[HexNAc(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[HexNAc(b1-4)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[GalNAc(b1-4)GlcNAc(b1-6)]GalNAc	Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	GlcNAc(a1-4)Gal(?1-?)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[GlcNAc(a1-4)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Gal(?1-?)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[HexNAc(?1-?)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	GlcNAc(a1-4)Gal(?1-?)GlcNAc(b1-3)[GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[GlcNAc(a1-4)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)]Gal(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Neu5Gc(a2-?)Gal(?1-?)GlcNAc(b1-2)Man(a1-3)[Neu5Gc(a2-?)Gal(?1-?)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Fuc(a1-?)Gal(?1-?)GlcNAc(b1-3)]Gal(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-6)]GalNAc	Neu5Ac(a2-?)HexNAc(?1-?)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)HexNAc(?1-?)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-2)Man(a1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-3)[Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc	Fuc(a1-2)Gal(?1-?)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-3)[Neu5Ac(a2-?)Gal(?1-?)GlcNAc(b1-3)Gal(?1-?)GlcNAc(b1-6)]Gal(b1-3)[Gal(?1-?)GlcNAc(b1-6)]GalNAc
G1-1																																																																																																				
G1-2																																																																																																				
G1-3																																																																																																				
G1-4																																																																																																				
G1-5																																																																																																				
G1-6																																																																																																				
G1-7																																																																																																				
G1-8																																																																																																				
G2-1																																																																																																				
